value,count
RR depot,1
rt,1
S (bud),1
S*,1
S/FR,1
S/HS,1
S/W,1
Scattered.,1
seed cap,1
Seed dispersal,1
Seed pod,1
seed testa,1
Seed.,1
Seeding,1
seeds & stems,1
seeds immature,1
Shrub,1
spines & stems,1
Spores,1
Stamens,1
Stems,1
Stems/roots,1
Ster,1
ster,1
Steriile,1
sterile fruit,1
sterile plants,1
"sterile, infected",1
sterile; immature,1
strobili,1
summer state,1
Tree,1
U,1
ue,1
unripe fruit,1
"v, fr",1
Veg (current year),1
Veg & Frt,1
Veg & post-Frt,1
Veg & post-frt,1
Vegatative,1
vegetaive - lower culm,1
Vegetative - culm,1
Vegetative - lower culm,1
vegetative - lower culms,1
vegetative - lower stem,1
Vegetative (Roots),1
Vegetative [with flr. buds],1
Vegetative and Flower,1
"vegetative, bud",1
Vegetatuve,1
vegitative,1
vegy,1
very early fruits,1
"vetgetative, flower",1
vg.,1
vining,1
W/FL,1
White Flowers,1
White/pinkish flowers,1
"Winter buds, no leaves",1
winter dormant,1
With flowers.,1
with fruit and seeds,1
With young fruit,1
yellow,1
young twigs; tomentose,1
