name,is_valid,valid_name,synonym_optional
Monotaceae,N,Dipterocarpaceae,
Monotropaceae,N,Ericaceae,
Montiniaceae,Y,,
Moraceae,Y,,
Morinaceae,N,Caprifoliaceae,Y
Moringaceae,Y,,
Mouririaceae,N,Memecylaceae,
Mouririaceae,N,Melastomataceae,Y
Moutabeaceae,N,Polygalaceae,
Muntingiaceae,Y,,
Musaceae,Y,,
Myodocarpaceae,Y,,
Myoporaceae,N,Scrophulariaceae,
Myricaceae,Y,,
Myriophyllaceae,N,Haloragaceae,
Myristicaceae,Y,,
Myrothamnaceae,N,Gunneraceae,Y
Myrsinaceae,Y,,
Myrtaceae,Y,,
Mystropetalaceae,N,Balanophoraceae,
Najadaceae,N,Hydrocharitaceae,
Nandinaceae,N,Berberidaceae,
Napoleonaceae,N,Lecythidaceae,
Nartheciaceae,Y,,
Naucleaceae,N,Rubiaceae,
Nectaropetalaceae,N,Erythroxylaceae,
Nelsoniaceae,N,Acanthaceae,
Nelumbonaceae,Y,,
Nemacladaceae,N,Lobeliaceae,
Nemacladaceae,N,Campanulaceae,Y
Nepenthaceae,Y,,
Nesogenaceae,N,Orobanchaceae,
Neuradaceae,Y,,
Neuwiediaceae,N,Orchidaceae,
Nitrariaceae,Y,,
Nolanaceae,N,Solanaceae,
Nolinaceae,N,Ruscaceae,
Nolinaceae,N,Asparagaceae,Y
Nothofagaceae,Y,,
Nupharaceae,N,Nymphaeaceae,
Nyctaginaceae,Y,,
Nyctanthaceae,N,Oleaceae,
Nymphaeaceae,Y,,
Nypaceae,N,Arecaceae,
Nyssaceae,N,Cornaceae,Y
Ochnaceae,Y,,
Octoknemaceae,N,Olacaceae,
Oftiaceae,N,Scrophulariaceae,
Olacaceae,Y,,
Oleaceae,Y,,
Oliniaceae,Y,,
Onagraceae,Y,,
Oncothecaceae,Y,,
Ophiopogonaceae,N,Ruscaceae,
Ophiopogonaceae,N,Asparagaceae,Y
Opiliaceae,Y,,
Orchidaceae,Y,,
Orobanchaceae,Y,,
Orontiaceae,N,Araceae,
Oxalidaceae,Y,,
Oxystylidaceae,N,Brassicaceae,
Pachysandraceae,N,Buxaceae,
Paeoniaceae,Y,,
Paivaeusaceae,N,Picrodendraceae,
Palmae,N,Arecaceae,
Pandaceae,Y,,
Pandanaceae,Y,,
Pangiaceae,N,Achariaceae,
Papaveraceae,Y,,
Papilionaceae,N,Fabaceae,
Paracryphiaceae,Y,,
Parnassiaceae,Y,,
Paronychiaceae,N,Caryophyllaceae,
Paropsiaceae,N,Passifloraceae,
Passifloraceae,Y,,
Paulowniaceae,Y,,
Pedaliaceae,Y,,
Peganaceae,N,Nitrariaceae,Y
Pellicieraceae,N,Tetrameristaceae,Y
Penaeaceae,Y,,
Pennantiaceae,Y,,
Pentadiplandraceae,Y,,
Pentaphragmataceae,Y,,
Pentaphylacaceae,Y,,
Pentastemonaceae,N,Stemonaceae,
Penthoraceae,N,Haloragaceae,Y
Peperomiaceae,N,Piperaceae,
Peraceae,N,Euphorbiaceae,
Peridiscaceae,Y,,
Periplocaceae,N,Apocynaceae,
Peripterygiaceae,N,Cardiopteridaceae,
Petermanniaceae,N,Colchicaceae,
Petiveriaceae,N,Phytolaccaceae,
Petrosaviaceae,Y,,
Phellinaceae,Y,,
Philadelphaceae,N,Hydrangeaceae,
Philesiaceae,Y,,
Philydraceae,Y,,
Phormiaceae,N,Hemerocallidaceae,
Phormiaceae,N,Xanthorrhoeaceae,Y
Phrymaceae,Y,,
Phyllanthaceae,Y,,
Phyllonomaceae,Y,,
Physenaceae,Y,,
Phytolaccaceae,Y,,
Picramniaceae,Y,,
Picrodendraceae,Y,,
Piperaceae,Y,,
Pistiaceae,N,Araceae,
Pittosporaceae,Y,,
Plagiopteraceae,N,Celastraceae,
Plantaginaceae,Y,,
Platanaceae,N,Proteaceae,Y
Platycaryaceae,N,Juglandaceae,
Platyspermataceae,N,Escalloniaceae,
Platystemonaceae,N,Papaveraceae,
Plocospermataceae,Y,,
Plumbaginaceae,Y,,
Plumeriaceae,N,Apocynaceae,
Poaceae,Y,,
Podoaceae,N,Anacardiaceae,
Podophyllaceae,N,Berberidaceae,
Podostemaceae,Y,,
Polemoniaceae,Y,,
Poliothyrsidaceae,N,Salicaceae,
Polpodaceae,N,Molluginaceae,
Polygalaceae,Y,,
Polygonaceae,Y,,
Polygonanthaceae,N,Anisophylleaceae,
Polyosmaceae,Y,,
Pontederiaceae,Y,,
Porantheraceae,N,Phyllanthaceae,
Portulacaceae,Y,,
Portulacariaceae,N,Portulacaceae,
Posidoniaceae,Y,,
Potaliaceae,N,Gentianaceae,
Potamogetonaceae,Y,,
Pottingeriaceae,Y,,
Primulaceae,Y,,
Prioniaceae,N,Thurniaceae,
Prionotaceae,N,Ericaceae,
Proteaceae,Y,,
Pseudanthaceae,N,Picrodendraceae,
Psiloxylaceae,Y,,
Ptaeroxylaceae,N,Rutaceae,
Pteridophyllaceae,N,Papaveraceae,Y
Pterostemonaceae,N,Iteaceae,Y
Punicaceae,N,Lythraceae,
Putranjivaceae,Y,,
Pyrolaceae,N,Ericaceae,
Quiinaceae,N,Ochnaceae,Y
Quillajaceae,Y,,
Quintiniaceae,N,Sphenostemonaceae,
Rafflesiaceae,Y,,
Ranunculaceae,Y,,
Ranzaniaceae,N,Berberidaceae,
Rapateaceae,Y,,
Reaumuriaceae,N,Tamaricaceae,
Resedaceae,Y,,
Restionaceae,Y,,
Retziaceae,N,Stilbaceae,
Rhabdodendraceae,Y,,
Rhamnaceae,Y,,
Rhinanthaceae,N,Orobanchaceae,
Rhipogonaceae,Y,,
Rhizophoraceae,N,Erythroxylaceae,Y
Rhodoleiaceae,N,Hamamelidaceae,
Rhoipteleaceae,N,Juglandaceae,Y
Rhopalocarpaceae,N,Sphaerosepalaceae,
Rhynchocalycaceae,Y,,
Rhynchothecaceae,N,Ledocarpaceae,
Roridulaceae,Y,,
Rosaceae,Y,,
Rousseaceae,Y,,
Roxburghiaceae,N,Stemonaceae,
Rubiaceae,Y,,
Ruppiaceae,Y,,
Ruscaceae,N,Asparagaceae,Y
Rutaceae,Y,,
Sabiaceae,Y,,
Saccifoliaceae,N,Gentianaceae,
Salazariaceae,N,Lamiaceae,
Salicaceae,Y,,
Salicorniaceae,N,Amaranthaceae,
Salpiglossidaceae,N,Solanaceae,
Salsolaceae,N,Amaranthaceae,
Salvadoraceae,Y,,
Sambucaceae,N,Adoxaceae,
Samolaceae,N,Theophrastaceae,
Samydaceae,N,Salicaceae,
Saniculaceae,N,Apiaceae,
Sansevieriaceae,N,Ruscaceae,
Sansevieriaceae,N,Asparagaceae,Y
Santalaceae,Y,,
Sapindaceae,Y,,
Sapotaceae,Y,,
Sarcobataceae,Y,,
Sarcolaenaceae,Y,,
Sarcophytaceae,N,Balanophoraceae,
Sarcospermataceae,N,Sapotaceae,
Sargentodoxaceae,N,Lardizabalaceae,
Sarraceniaceae,Y,,
Saurauiaceae,N,Actinidiaceae,
Saururaceae,Y,,
Sauvagesiaceae,N,Ochnaceae,
Saxifragaceae,Y,,
Scaevolaceae,N,Goodeniaceae,
Scepaceae,N,Phyllanthaceae,
